Time,Mem,CPU,Labels,Annotations
10:36:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:37:01,0.1,0.0,20724,root:j248:p20724:slurmstepd: [248.batch]
10:37:01,20.5,99.7,20731,user1:j248:p20731:nwchem_openmpi density_diamond.nw
10:37:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:37:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:37:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:38:01,0.1,0.0,20724,root:j248:p20724:slurmstepd: [248.batch]
10:38:01,20.5,99.7,20731,user1:j248:p20731:nwchem_openmpi density_diamond.nw
10:38:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:38:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:38:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:39:01,0.1,0.0,20724,root:j248:p20724:slurmstepd: [248.batch]
10:39:01,20.6,99.7,20731,user1:j248:p20731:nwchem_openmpi density_diamond.nw
10:39:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:39:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:39:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:40:01,0.1,0.0,20724,root:j248:p20724:slurmstepd: [248.batch]
10:40:01,21.2,99.7,20731,user1:j248:p20731:nwchem_openmpi density_diamond.nw
10:40:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:40:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:40:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:41:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:41:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:41:01,0.7,99.6,20914,user4:j258:p20914:lmp -in in.free_sampling
10:41:01,0.1,0.0,21818,root:j260:p21818:slurmstepd: [260.batch]
10:41:01,1.6,0.4,21835,user3:j260:p21835:java CopyContent
10:42:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:42:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:42:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:42:01,0.1,0.2,21878,root:j264:p21878:slurmstepd: [264.batch]
10:42:01,16.0,97.8,21883,user5:j264:p21883:/usr/lib64/R/bin/exec/R --slave --no-restore --file=example.R
10:43:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:43:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:43:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:44:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
