Date,Time,Pid,Address,Permission,Offset,Device,Inode,Pathname
2022-01-31,20:21:01,7389,2b65ae770000-2b65ae96f000,---p,00017000,fd:00,728760,['/usr/lib64/libpthread-2.17.so']
2022-01-31,20:21:01,7389,2b65ae96f000-2b65ae970000,r--p,00016000,fd:00,728760,['/usr/lib64/libpthread-2.17.so']
2022-01-31,20:21:01,7389,2b65ae970000-2b65ae971000,rw-p,00017000,fd:00,728760,['/usr/lib64/libpthread-2.17.so']
2022-01-31,20:21:01,7389,2b65ae971000-2b65ae975000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7389,2b65ae975000-2b65aeb39000,r-xp,00000000,fd:00,8822,['/usr/lib64/libc-2.17.so']
2022-01-31,20:21:01,7389,2b65aeb39000-2b65aed38000,---p,001c4000,fd:00,8822,['/usr/lib64/libc-2.17.so']
2022-01-31,20:21:01,7389,2b65aed38000-2b65aed3c000,r--p,001c3000,fd:00,8822,['/usr/lib64/libc-2.17.so']
2022-01-31,20:21:01,7389,2b65aed3c000-2b65aed3e000,rw-p,001c7000,fd:00,8822,['/usr/lib64/libc-2.17.so']
2022-01-31,20:21:01,7389,2b65aed3e000-2b65aed43000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7389,2b65aed43000-2b65aed58000,r-xp,00000000,fd:00,84,['/usr/lib64/libgcc_s-4.8.5-20150702.so.1']
2022-01-31,20:21:01,7389,2b65aed58000-2b65aef57000,---p,00015000,fd:00,84,['/usr/lib64/libgcc_s-4.8.5-20150702.so.1']
2022-01-31,20:21:01,7389,2b65aef57000-2b65aef58000,r--p,00014000,fd:00,84,['/usr/lib64/libgcc_s-4.8.5-20150702.so.1']
2022-01-31,20:21:01,7389,2b65aef58000-2b65aef59000,rw-p,00015000,fd:00,84,['/usr/lib64/libgcc_s-4.8.5-20150702.so.1']
2022-01-31,20:21:01,7389,2b65aef59000-2b65aef63000,r-xp,00000000,fd:00,539688,['/usr/lib64/libnuma.so.1.0.0']
