Date,Time,Pid,Address,Permission,Offset,Device,Inode,Pathname
2022-01-31,20:40:01,7546,00400000-0043c000,r-xp,00000000,fd:00,968923,['/usr/sbin/slurmstepd']
2022-01-31,20:40:01,7546,0063b000-0063c000,r--p,0003b000,fd:00,968923,['/usr/sbin/slurmstepd']
2022-01-31,20:40:01,7546,0063c000-0063e000,rw-p,0003c000,fd:00,968923,['/usr/sbin/slurmstepd']
2022-01-31,20:40:01,7546,0063e000-00640000,rw-p,00000000,00:00,0,
2022-01-31,20:40:01,7546,01aa2000-01b5f000,rw-p,00000000,00:00,0,['[heap]']
2022-01-31,20:40:01,7546,2b3fac85d000-2b3fac87f000,r-xp,00000000,fd:00,728737,['/usr/lib64/ld-2.17.so']
2022-01-31,20:40:01,7546,2b3fac87f000-2b3fac888000,rw-p,00000000,00:00,0,
2022-01-31,20:40:01,7546,2b3fac888000-2b3fac889000,---p,00000000,00:00,0,
2022-01-31,20:40:01,7546,2b3fac889000-2b3fac989000,rw-p,00000000,00:00,0,
2022-01-31,20:40:01,7546,2b3faca7e000-2b3faca7f000,r--p,00021000,fd:00,728737,['/usr/lib64/ld-2.17.so']
2022-01-31,20:40:01,7546,2b3faca7f000-2b3faca80000,rw-p,00022000,fd:00,728737,['/usr/lib64/ld-2.17.so']
2022-01-31,20:40:01,7546,2b3faca80000-2b3faca81000,rw-p,00000000,00:00,0,
2022-01-31,20:40:01,7546,2b3faca81000-2b3facc4e000,r-xp,00000000,fd:00,9381851,['/usr/lib64/slurm/libslurmfull.so']
2022-01-31,20:40:01,7546,2b3facc4e000-2b3face4d000,---p,001cd000,fd:00,9381851,['/usr/lib64/slurm/libslurmfull.so']
2022-01-31,20:40:01,7546,2b3face4d000-2b3face50000,r--p,001cc000,fd:00,9381851,['/usr/lib64/slurm/libslurmfull.so']
2022-01-31,20:40:01,7546,2b3face50000-2b3face5b000,rw-p,001cf000,fd:00,9381851,['/usr/lib64/slurm/libslurmfull.so']
2022-01-31,20:40:01,7546,2b3face5b000-2b3face61000,rw-p,00000000,00:00,0,
2022-01-31,20:40:01,7546,2b3face61000-2b3face63000,r-xp,00000000,fd:00,8830,['/usr/lib64/libdl-2.17.so']
2022-01-31,20:40:01,7546,2b3face63000-2b3fad063000,---p,00002000,fd:00,8830,['/usr/lib64/libdl-2.17.so']
2022-01-31,20:40:01,7546,2b3fad063000-2b3fad064000,r--p,00002000,fd:00,8830,['/usr/lib64/libdl-2.17.so']
2022-01-31,20:40:01,7546,2b3fad064000-2b3fad065000,rw-p,00003000,fd:00,8830,['/usr/lib64/libdl-2.17.so']
2022-01-31,20:40:01,7546,2b3fad065000-2b3fad0a1000,r-xp,00000000,fd:00,3592,['/usr/lib64/libhwloc.so.5.7.5']
2022-01-31,20:40:01,7546,2b3fad0a1000-2b3fad2a0000,---p,0003c000,fd:00,3592,['/usr/lib64/libhwloc.so.5.7.5']
2022-01-31,20:40:01,7546,2b3fad2a0000-2b3fad2a1000,r--p,0003b000,fd:00,3592,['/usr/lib64/libhwloc.so.5.7.5']
2022-01-31,20:40:01,7546,2b3fad2a1000-2b3fad2a2000,rw-p,0003c000,fd:00,3592,['/usr/lib64/libhwloc.so.5.7.5']
2022-01-31,20:40:01,7546,2b3fad2a2000-2b3fad2af000,r-xp,00000000,fd:00,439562,['/usr/lib64/libpam.so.0.83.1']
2022-01-31,20:40:01,7546,2b3fad2af000-2b3fad4af000,---p,0000d000,fd:00,439562,['/usr/lib64/libpam.so.0.83.1']
2022-01-31,20:40:01,7546,2b3fad4af000-2b3fad4b0000,r--p,0000d000,fd:00,439562,['/usr/lib64/libpam.so.0.83.1']
2022-01-31,20:40:01,7546,2b3fad4b0000-2b3fad4b1000,rw-p,0000e000,fd:00,439562,['/usr/lib64/libpam.so.0.83.1']
2022-01-31,20:40:01,7546,2b3fad4b1000-2b3fad4b4000,r-xp,00000000,fd:00,439564,['/usr/lib64/libpam_misc.so.0.82.0']
2022-01-31,20:40:01,7546,2b3fad4b4000-2b3fad6b3000,---p,00003000,fd:00,439564,['/usr/lib64/libpam_misc.so.0.82.0']
2022-01-31,20:40:01,7546,2b3fad6b3000-2b3fad6b4000,r--p,00002000,fd:00,439564,['/usr/lib64/libpam_misc.so.0.82.0']
2022-01-31,20:40:01,7546,2b3fad6b4000-2b3fad6b5000,rw-p,00003000,fd:00,439564,['/usr/lib64/libpam_misc.so.0.82.0']
2022-01-31,20:40:01,7546,2b3fad6b5000-2b3fad6b7000,r-xp,00000000,fd:00,8832,['/usr/lib64/libutil-2.17.so']
2022-01-31,20:40:01,7546,2b3fad6b7000-2b3fad8b6000,---p,00002000,fd:00,8832,['/usr/lib64/libutil-2.17.so']
2022-01-31,20:40:01,7546,2b3fad8b6000-2b3fad8b7000,r--p,00001000,fd:00,8832,['/usr/lib64/libutil-2.17.so']
2022-01-31,20:40:01,7546,2b3fad8b7000-2b3fad8b8000,rw-p,00002000,fd:00,8832,['/usr/lib64/libutil-2.17.so']
2022-01-31,20:40:01,7546,2b3fad8b8000-2b3fad9b9000,r-xp,00000000,fd:00,728742,['/usr/lib64/libm-2.17.so']
2022-01-31,20:40:01,7546,2b3fad9b9000-2b3fadbb8000,---p,00101000,fd:00,728742,['/usr/lib64/libm-2.17.so']
2022-01-31,20:40:01,7546,2b3fadbb8000-2b3fadbb9000,r--p,00100000,fd:00,728742,['/usr/lib64/libm-2.17.so']
2022-01-31,20:40:01,7546,2b3fadbb9000-2b3fadbba000,rw-p,00101000,fd:00,728742,['/usr/lib64/libm-2.17.so']
2022-01-31,20:40:01,7546,2b3fadbba000-2b3fadbd0000,r-xp,00000000,fd:00,728762,['/usr/lib64/libresolv-2.17.so']
2022-01-31,20:40:01,7546,2b3fadbd0000-2b3faddd0000,---p,00016000,fd:00,728762,['/usr/lib64/libresolv-2.17.so']
2022-01-31,20:40:01,7546,2b3faddd0000-2b3faddd1000,r--p,00016000,fd:00,728762,['/usr/lib64/libresolv-2.17.so']
2022-01-31,20:40:01,7546,2b3faddd1000-2b3faddd2000,rw-p,00017000,fd:00,728762,['/usr/lib64/libresolv-2.17.so']
2022-01-31,20:40:01,7546,2b3faddd2000-2b3faddd4000,rw-p,00000000,00:00,0,
2022-01-31,20:40:01,7546,2b3faddd4000-2b3faddeb000,r-xp,00000000,fd:00,728760,['/usr/lib64/libpthread-2.17.so']
2022-01-31,20:40:01,7546,2b3faddeb000-2b3fadfea000,---p,00017000,fd:00,728760,['/usr/lib64/libpthread-2.17.so']
2022-01-31,20:40:01,7546,2b3fadfea000-2b3fadfeb000,r--p,00016000,fd:00,728760,['/usr/lib64/libpthread-2.17.so']
2022-01-31,20:40:01,7546,2b3fadfeb000-2b3fadfec000,rw-p,00017000,fd:00,728760,['/usr/lib64/libpthread-2.17.so']
2022-01-31,20:40:01,7546,2b3fadfec000-2b3fadff0000,rw-p,00000000,00:00,0,
2022-01-31,20:40:01,7546,2b3fadff0000-2b3fae1b4000,r-xp,00000000,fd:00,8822,['/usr/lib64/libc-2.17.so']
2022-01-31,20:40:01,7546,2b3fae1b4000-2b3fae3b3000,---p,001c4000,fd:00,8822,['/usr/lib64/libc-2.17.so']
2022-01-31,20:40:01,7546,2b3fae3b3000-2b3fae3b7000,r--p,001c3000,fd:00,8822,['/usr/lib64/libc-2.17.so']
2022-01-31,20:40:01,7546,2b3fae3b7000-2b3fae3b9000,rw-p,001c7000,fd:00,8822,['/usr/lib64/libc-2.17.so']
2022-01-31,20:40:01,7546,2b3fae3b9000-2b3fae3be000,rw-p,00000000,00:00,0,
2022-01-31,20:40:01,7546,2b3fae3be000-2b3fae3d3000,r-xp,00000000,fd:00,84,['/usr/lib64/libgcc_s-4.8.5-20150702.so.1']
2022-01-31,20:40:01,7546,2b3fae3d3000-2b3fae5d2000,---p,00015000,fd:00,84,['/usr/lib64/libgcc_s-4.8.5-20150702.so.1']
2022-01-31,20:40:01,7546,2b3fae5d2000-2b3fae5d3000,r--p,00014000,fd:00,84,['/usr/lib64/libgcc_s-4.8.5-20150702.so.1']
2022-01-31,20:40:01,7546,2b3fae5d3000-2b3fae5d4000,rw-p,00015000,fd:00,84,['/usr/lib64/libgcc_s-4.8.5-20150702.so.1']
2022-01-31,20:40:01,7546,2b3fae5d4000-2b3fae5de000,r-xp,00000000,fd:00,539688,['/usr/lib64/libnuma.so.1.0.0']
2022-01-31,20:40:01,7546,2b3fae5de000-2b3fae7de000,---p,0000a000,fd:00,539688,['/usr/lib64/libnuma.so.1.0.0']
2022-01-31,20:40:01,7546,2b3fae7de000-2b3fae7df000,r--p,0000a000,fd:00,539688,['/usr/lib64/libnuma.so.1.0.0']
2022-01-31,20:40:01,7546,2b3fae7df000-2b3fae7e0000,rw-p,0000b000,fd:00,539688,['/usr/lib64/libnuma.so.1.0.0']
2022-01-31,20:40:01,7546,2b3fae7e0000-2b3fae7e9000,r-xp,00000000,fd:00,3590,['/usr/lib64/libltdl.so.7.3.0']
2022-01-31,20:40:01,7546,2b3fae7e9000-2b3fae9e8000,---p,00009000,fd:00,3590,['/usr/lib64/libltdl.so.7.3.0']
2022-01-31,20:40:01,7546,2b3fae9e8000-2b3fae9e9000,r--p,00008000,fd:00,3590,['/usr/lib64/libltdl.so.7.3.0']
2022-01-31,20:40:01,7546,2b3fae9e9000-2b3fae9ea000,rw-p,00009000,fd:00,3590,['/usr/lib64/libltdl.so.7.3.0']
