Date,Time,Mem,CPU,Labels,Annotations,Full_Annotations,DAG_if_root
2022-01-31,20:21:01,0.1,0.0,7389,root:j324:p7389:slurmstepd: [324.batch],root:j324:p7389:slurmstepd: [324.batch],"[('7389', '7393'), ('7393', '7394')]"
2022-01-31,20:21:01,6.5,38.1,7394,user2:j324:p7394:python3 videoProcessing.py,user2:j324:p7394:python3 videoProcessing.py,
2022-01-31,20:21:31,0.1,0.0,7441,root:j329:p7441:slurmstepd: [329.batch],root:j329:p7441:slurmstepd: [329.batch],"[('7441', '7445'), ('7445', '7448')]"
2022-01-31,20:21:31,20.4,91.8,7448,user1:j329:p7448:nwchem_openmpi density_diamond.nw,user1:j329:p7448:nwchem_openmpi density_diamond.nw,
2022-01-31,20:21:31,0.1,0.1,7453,root:j330:p7453:slurmstepd: [330.batch],root:j330:p7453:slurmstepd: [330.batch],
2022-01-31,20:21:31,0.1,0.3,7460,"user2:j330:p7460:mpirun --allow-run-as-root --mca btl self,vader ...","user2:j330:p7460:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache lmp -var r 1000 -in in.rhodo -sf omp","[('7453', '7457'), ('7457', '7460'), ('7460', '7462')]"
2022-01-31,20:21:31,7.6,85.1,7462,user2:j330:p7462:lmp -var r 1000 -in in.rhodo -sf omp,user2:j330:p7462:lmp -var r 1000 -in in.rhodo -sf omp,
2022-01-31,20:22:01,0.1,0.0,7441,root:j329:p7441:slurmstepd: [329.batch],root:j329:p7441:slurmstepd: [329.batch],"[('7441', '7445'), ('7445', '7448')]"
2022-01-31,20:22:01,20.4,97.0,7448,user1:j329:p7448:nwchem_openmpi density_diamond.nw,user1:j329:p7448:nwchem_openmpi density_diamond.nw,
2022-01-31,20:22:01,0.1,0.0,7453,root:j330:p7453:slurmstepd: [330.batch],root:j330:p7453:slurmstepd: [330.batch],
2022-01-31,20:22:01,0.1,0.0,7460,"user2:j330:p7460:mpirun --allow-run-as-root --mca btl self,vader ...","user2:j330:p7460:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache lmp -var r 1000 -in in.rhodo -sf omp","[('7453', '7457'), ('7457', '7460'), ('7460', '7462')]"
2022-01-31,20:22:01,7.6,97.5,7462,user2:j330:p7462:lmp -var r 1000 -in in.rhodo -sf omp,user2:j330:p7462:lmp -var r 1000 -in in.rhodo -sf omp,
2022-01-31,20:22:31,0.1,0.0,7441,root:j329:p7441:slurmstepd: [329.batch],root:j329:p7441:slurmstepd: [329.batch],"[('7441', '7445'), ('7445', '7448')]"
2022-01-31,20:22:31,21.0,98.0,7448,user1:j329:p7448:nwchem_openmpi density_diamond.nw,user1:j329:p7448:nwchem_openmpi density_diamond.nw,
2022-01-31,20:22:31,0.1,0.0,7494,root:j334:p7494:slurmstepd: [334.batch],root:j334:p7494:slurmstepd: [334.batch],
2022-01-31,20:22:31,0.3,0.0,7499,user2:j334:p7499:python3 sleep_test.py,user2:j334:p7499:python3 sleep_test.py,"[('7494', '7498'), ('7498', '7499')]"
2022-01-31,20:23:01,0.1,0.0,7494,root:j334:p7494:slurmstepd: [334.batch],root:j334:p7494:slurmstepd: [334.batch],"[('7494', '7498'), ('7498', '7499')]"
2022-01-31,20:23:01,0.3,0.0,7499,user2:j334:p7499:python3 sleep_test.py,user2:j334:p7499:python3 sleep_test.py,
2022-01-31,20:23:01,0.1,0.0,7546,root:j339:p7546:slurmstepd: [339.batch],root:j339:p7546:slurmstepd: [339.batch],
2022-01-31,20:23:01,0.1,0.3,7553,"user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader ...","user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache lmp -in in.free_sampling","[('7546', '7550'), ('7550', '7553'), ('7553', '7555')]"
2022-01-31,20:23:01,0.8,99.3,7555,user4:j339:p7555:lmp -in in.free_sampling,user4:j339:p7555:lmp -in in.free_sampling,
2022-01-31,20:23:31,0.1,0.0,7494,root:j334:p7494:slurmstepd: [334.batch],root:j334:p7494:slurmstepd: [334.batch],"[('7494', '7498'), ('7498', '7499')]"
2022-01-31,20:23:31,0.3,0.0,7499,user2:j334:p7499:python3 sleep_test.py,user2:j334:p7499:python3 sleep_test.py,
2022-01-31,20:23:31,0.1,0.0,7546,root:j339:p7546:slurmstepd: [339.batch],root:j339:p7546:slurmstepd: [339.batch],
2022-01-31,20:23:31,0.1,0.1,7553,"user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader ...","user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache lmp -in in.free_sampling","[('7546', '7550'), ('7550', '7553'), ('7553', '7555')]"
2022-01-31,20:23:31,0.8,99.4,7555,user4:j339:p7555:lmp -in in.free_sampling,user4:j339:p7555:lmp -in in.free_sampling,
2022-01-31,20:24:01,0.1,0.0,7494,root:j334:p7494:slurmstepd: [334.batch],root:j334:p7494:slurmstepd: [334.batch],"[('7494', '7498'), ('7498', '7499')]"
2022-01-31,20:24:01,0.3,0.0,7499,user2:j334:p7499:python3 sleep_test.py,user2:j334:p7499:python3 sleep_test.py,
2022-01-31,20:24:01,0.1,0.0,7546,root:j339:p7546:slurmstepd: [339.batch],root:j339:p7546:slurmstepd: [339.batch],
2022-01-31,20:24:01,0.1,0.0,7553,"user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader ...","user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache lmp -in in.free_sampling","[('7546', '7550'), ('7550', '7553'), ('7553', '7555')]"
2022-01-31,20:24:01,0.8,99.7,7555,user4:j339:p7555:lmp -in in.free_sampling,user4:j339:p7555:lmp -in in.free_sampling,
2022-01-31,20:24:31,0.1,0.0,7494,root:j334:p7494:slurmstepd: [334.batch],root:j334:p7494:slurmstepd: [334.batch],"[('7494', '7498'), ('7498', '7499')]"
2022-01-31,20:24:31,0.3,0.0,7499,user2:j334:p7499:python3 sleep_test.py,user2:j334:p7499:python3 sleep_test.py,
2022-01-31,20:24:31,0.1,0.0,7546,root:j339:p7546:slurmstepd: [339.batch],root:j339:p7546:slurmstepd: [339.batch],
2022-01-31,20:24:31,0.1,0.0,7553,"user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader ...","user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache lmp -in in.free_sampling","[('7546', '7550'), ('7550', '7553'), ('7553', '7555')]"
2022-01-31,20:24:31,0.8,99.7,7555,user4:j339:p7555:lmp -in in.free_sampling,user4:j339:p7555:lmp -in in.free_sampling,
2022-01-31,20:25:01,0.1,0.0,7494,root:j334:p7494:slurmstepd: [334.batch],root:j334:p7494:slurmstepd: [334.batch],"[('7494', '7498'), ('7498', '7499')]"
2022-01-31,20:25:01,0.3,0.0,7499,user2:j334:p7499:python3 sleep_test.py,user2:j334:p7499:python3 sleep_test.py,
2022-01-31,20:25:01,0.1,0.0,7546,root:j339:p7546:slurmstepd: [339.batch],root:j339:p7546:slurmstepd: [339.batch],
2022-01-31,20:25:01,0.1,0.0,7553,"user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader ...","user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache lmp -in in.free_sampling","[('7546', '7550'), ('7550', '7553'), ('7553', '7555')]"
2022-01-31,20:25:01,0.8,99.7,7555,user4:j339:p7555:lmp -in in.free_sampling,user4:j339:p7555:lmp -in in.free_sampling,
2022-01-31,20:25:31,0.1,0.0,7494,root:j334:p7494:slurmstepd: [334.batch],root:j334:p7494:slurmstepd: [334.batch],"[('7494', '7498'), ('7498', '7499')]"
2022-01-31,20:25:31,0.3,0.0,7499,user2:j334:p7499:python3 sleep_test.py,user2:j334:p7499:python3 sleep_test.py,
2022-01-31,20:25:31,0.1,0.0,7546,root:j339:p7546:slurmstepd: [339.batch],root:j339:p7546:slurmstepd: [339.batch],
2022-01-31,20:25:31,0.1,0.0,7553,"user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader ...","user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache lmp -in in.free_sampling","[('7546', '7550'), ('7550', '7553'), ('7553', '7555')]"
2022-01-31,20:25:31,0.8,99.7,7555,user4:j339:p7555:lmp -in in.free_sampling,user4:j339:p7555:lmp -in in.free_sampling,
2022-01-31,20:26:01,0.1,0.0,7494,root:j334:p7494:slurmstepd: [334.batch],root:j334:p7494:slurmstepd: [334.batch],"[('7494', '7498'), ('7498', '7499')]"
2022-01-31,20:26:01,0.3,0.0,7499,user2:j334:p7499:python3 sleep_test.py,user2:j334:p7499:python3 sleep_test.py,
2022-01-31,20:26:01,0.1,0.0,7546,root:j339:p7546:slurmstepd: [339.batch],root:j339:p7546:slurmstepd: [339.batch],
2022-01-31,20:26:01,0.1,0.0,7553,"user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader ...","user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache lmp -in in.free_sampling","[('7546', '7550'), ('7550', '7553'), ('7553', '7555')]"
2022-01-31,20:26:01,0.8,99.8,7555,user4:j339:p7555:lmp -in in.free_sampling,user4:j339:p7555:lmp -in in.free_sampling,
2022-01-31,20:26:31,0.1,0.0,7494,root:j334:p7494:slurmstepd: [334.batch],root:j334:p7494:slurmstepd: [334.batch],"[('7494', '7498'), ('7498', '7499')]"
2022-01-31,20:26:31,0.3,0.0,7499,user2:j334:p7499:python3 sleep_test.py,user2:j334:p7499:python3 sleep_test.py,
2022-01-31,20:26:31,0.1,0.0,7546,root:j339:p7546:slurmstepd: [339.batch],root:j339:p7546:slurmstepd: [339.batch],
2022-01-31,20:26:31,0.1,0.0,7553,"user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader ...","user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache lmp -in in.free_sampling","[('7546', '7550'), ('7550', '7553'), ('7553', '7555')]"
2022-01-31,20:26:31,0.8,99.8,7555,user4:j339:p7555:lmp -in in.free_sampling,user4:j339:p7555:lmp -in in.free_sampling,
2022-01-31,20:27:01,0.1,0.0,7494,root:j334:p7494:slurmstepd: [334.batch],root:j334:p7494:slurmstepd: [334.batch],"[('7494', '7498'), ('7498', '7499')]"
2022-01-31,20:27:01,0.3,0.0,7499,user2:j334:p7499:python3 sleep_test.py,user2:j334:p7499:python3 sleep_test.py,
2022-01-31,20:27:01,0.1,0.0,7546,root:j339:p7546:slurmstepd: [339.batch],root:j339:p7546:slurmstepd: [339.batch],
2022-01-31,20:27:01,0.1,0.0,7553,"user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader ...","user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache lmp -in in.free_sampling","[('7546', '7550'), ('7550', '7553'), ('7553', '7555')]"
2022-01-31,20:27:01,0.8,99.8,7555,user4:j339:p7555:lmp -in in.free_sampling,user4:j339:p7555:lmp -in in.free_sampling,
2022-01-31,20:27:31,0.1,0.0,7546,root:j339:p7546:slurmstepd: [339.batch],root:j339:p7546:slurmstepd: [339.batch],"[('7546', '7550'), ('7550', '7553'), ('7553', '7555')]"
2022-01-31,20:27:31,0.1,0.0,7553,"user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader ...","user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache lmp -in in.free_sampling",
2022-01-31,20:27:31,0.8,99.8,7555,user4:j339:p7555:lmp -in in.free_sampling,user4:j339:p7555:lmp -in in.free_sampling,
2022-01-31,20:27:31,0.1,0.0,7675,root:j344:p7675:slurmstepd: [344.batch],root:j344:p7675:slurmstepd: [344.batch],
2022-01-31,20:27:31,1.6,0.6,7692,user3:j344:p7692:java CopyContent,user3:j344:p7692:java CopyContent,"[('7675', '7679'), ('7679', '7692')]"
2022-01-31,20:28:01,0.1,0.0,7546,root:j339:p7546:slurmstepd: [339.batch],root:j339:p7546:slurmstepd: [339.batch],"[('7546', '7550'), ('7550', '7553'), ('7553', '7555')]"
2022-01-31,20:28:01,0.1,0.0,7553,"user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader ...","user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache lmp -in in.free_sampling",
2022-01-31,20:28:01,0.8,99.8,7555,user4:j339:p7555:lmp -in in.free_sampling,user4:j339:p7555:lmp -in in.free_sampling,
2022-01-31,20:28:01,0.1,0.0,7675,root:j344:p7675:slurmstepd: [344.batch],root:j344:p7675:slurmstepd: [344.batch],
2022-01-31,20:28:01,1.7,0.3,7692,user3:j344:p7692:java CopyContent,user3:j344:p7692:java CopyContent,"[('7675', '7679'), ('7679', '7692')]"
2022-01-31,20:28:31,0.1,0.0,7546,root:j339:p7546:slurmstepd: [339.batch],root:j339:p7546:slurmstepd: [339.batch],"[('7546', '7550'), ('7550', '7553'), ('7553', '7555')]"
2022-01-31,20:28:31,0.1,0.0,7553,"user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader ...","user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache lmp -in in.free_sampling",
2022-01-31,20:28:31,0.8,99.8,7555,user4:j339:p7555:lmp -in in.free_sampling,user4:j339:p7555:lmp -in in.free_sampling,
2022-01-31,20:28:31,0.1,0.0,7675,root:j344:p7675:slurmstepd: [344.batch],root:j344:p7675:slurmstepd: [344.batch],
2022-01-31,20:28:31,1.7,0.2,7692,user3:j344:p7692:java CopyContent,user3:j344:p7692:java CopyContent,"[('7675', '7679'), ('7679', '7692')]"
2022-01-31,20:29:01,0.1,0.0,7546,root:j339:p7546:slurmstepd: [339.batch],root:j339:p7546:slurmstepd: [339.batch],"[('7546', '7550'), ('7550', '7553'), ('7553', '7555')]"
2022-01-31,20:29:01,0.1,0.0,7553,"user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader ...","user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache lmp -in in.free_sampling",
2022-01-31,20:29:01,0.8,99.8,7555,user4:j339:p7555:lmp -in in.free_sampling,user4:j339:p7555:lmp -in in.free_sampling,
2022-01-31,20:29:01,0.1,0.0,7733,root:j348:p7733:slurmstepd: [348.batch],root:j348:p7733:slurmstepd: [348.batch],
2022-01-31,20:29:01,22.9,99.8,7738,user5:j348:p7738:/usr/lib64/R/bin/exec/R --slave --no-restore ...,user5:j348:p7738:/usr/lib64/R/bin/exec/R --slave --no-restore --file=example.R,"[('7733', '7737'), ('7737', '7738')]"
2022-01-31,20:29:31,0.1,0.0,7546,root:j339:p7546:slurmstepd: [339.batch],root:j339:p7546:slurmstepd: [339.batch],"[('7546', '7550'), ('7550', '7553'), ('7553', '7555')]"
2022-01-31,20:29:31,0.1,0.0,7553,"user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader ...","user4:j339:p7553:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache lmp -in in.free_sampling",
2022-01-31,20:29:31,0.8,99.8,7555,user4:j339:p7555:lmp -in in.free_sampling,user4:j339:p7555:lmp -in in.free_sampling,
2022-01-31,20:29:31,0.1,0.0,7733,root:j348:p7733:slurmstepd: [348.batch],root:j348:p7733:slurmstepd: [348.batch],
2022-01-31,20:29:31,10.7,99.5,7738,user5:j348:p7738:/usr/lib64/R/bin/exec/R --slave --no-restore ...,user5:j348:p7738:/usr/lib64/R/bin/exec/R --slave --no-restore --file=example.R,"[('7733', '7737'), ('7737', '7738')]"
